id,overview,genres
34,war afghanistan local interpret risk life carri injur sergeant across mile gruel terrain ,"War, Action, Thriller"
35,slain group crimin man reborn anim like superpow make mission right wrong citi ,"Action, Fantasy, Thriller"
36,puss boot discov passion adventur taken toll burn eight nine live leav one life left puss set epic journey find mythic last wish restor nine live ,"Animation, Family, Fantasy, Adventure, Comedy, Action"
37,viciou slaughter famili stone cold mercenari sub zero hanzo hasashi exil tortur netherrealm exchang servitud sinist quan chi given chanc aveng famili resurrect scorpion lost soul bent reveng back earthrealm lord raiden gather team elit warrior shaolin monk liu kang special forc offic blade action star cage unlik band hero one chanc save human must defeat shang tsung hord outworld gladiat reign mortal kombat tournament ,"Animation, Action, Fantasy"
38,detect becom entangl mysteri involv miss daughter secret govern program investig string realiti bend crime ,"Mystery, Thriller, Science Fiction"
39,father amorth chief exorcist vatican investig young boy terrifi possess end uncov centuri old conspiraci vatican desper tri keep hidden ,"Horror, Thriller"
40,iconoclast take prison cop mcclane find first time foreign soil travel moscow help wayward son unawar realli highli train cia oper stop nuclear weapon heist russian underworld pursuit battl countdown war two mcclane discov oppos method make unstopp hero ,"Action, Thriller"
41,reunion two estrang sister get cut short rise flesh possess demon thrust primal battl surviv face nightmarish version famili imagin ,"Thriller, Horror"
42,super hero partner lang van dyne along parent van dyne pym daughter lang find explor quantum realm interact strang new creatur embark adventur push beyond limit thought possibl ,"Action, Adventure, Science Fiction"
43,take temporari job caregiv young woman realiz employ hous danger dark past ,Horror
44,shock truth coupl famili emerg two lover discov differ longer sweet simpl good girl met hardin cruel moodi boy fell hard ,"Romance, Drama"
45,earthrealm hero must journey outworld fight surviv homeland invad forc evil warlord shao kahn tournament end tournament final mortal kombat ,"Animation, Action, Fantasy"
46,young dedic student duti daughter loyal girlfriend high school sweetheart enter first semest colleg guard world open meet hardin mysteri brood rebel make question thought knew want life ,"Romance, Drama"
47,two children wake middl night find father miss window door home vanish ,Horror
48,deep sea submers pilot revisit past fear trench accident unleash seventi foot ancestor great white shark believ extinct ,"Action, Science Fiction, Horror"
49,batson foster sibl transform superhero say shazam forc get back action fight daughter atla must stop use weapon could destroy world ,"Comedy, Action, Fantasy"
50,group friend discov conjur spirit use embalm hand becom hook new thrill one goe far unleash terrifi supernatur forc ,"Horror, Thriller"
51,two year escap violent attack famili 16 year old attempt rebuild life care older woman kindr spirit name howev violent group known men break home attack take belov dog must return old way protect love one ,"Action, Horror, Thriller"
52,fertil doctor firm understand cycl life forc make sens increasingli strang behavior young daughter must challeng belief confront ghost past ,"Horror, Thriller"
53,nationwid manhunt ventur lead untold danger unexpect revel monarch liter dr ventur blood impos evil past reemerg wreak havoc ventur guild even monarch marriag take friend foe alik restor ventur world order end ,"Animation, Action, Adventure, Comedy, Science Fiction"
54,find new era approach retir indi wrestl fit world seem outgrown tentacl familiar evil return form old rival indi must hat pick whip make sure ancient power artifact fall wrong hand ,"Adventure, Action, Fantasy"
55,tale extraordinari famili madrig live hidden mountain colombia magic hous vibrant town wondrou charm place call encanto magic encanto bless everi child famili everi child except one discov magic surround encanto danger decid ordinari madrig might except famili last hope ,"Animation, Comedy, Family, Fantasy"
56,find struggl complic relationship hardin face dilemma could chang live forev ,"Romance, Drama"
57,pregnant woman bed rest begin wonder hous haunt head ,Horror
58,life begin becom unglu noth thought would friend famili person abl reli hardin furiou discov massiv secret keep make biggest decis life everyth chang revel famili ,"Romance, Drama"
59,follow latest ghostfac kill four survivor leav woodsboro behind start fresh chapter ,"Horror, Thriller, Mystery"
60,domin box world adoni creed thrive career famili life childhood friend former box prodigi anderson resurfac serv long sentenc prison eager prove deserv shot ring face former friend fight settl score adoni must put futur line battl fighter noth lose ,"Drama, Action"
61,unmask longer abl separ normal life high stake super hero ask help doctor strang stake becom even danger forc discov truli mean spider man ,"Action, Adventure, Science Fiction"
62,unknown diseas wipe world popul man uniqu blood isol studi fear wife safeti break quarantin world overrun monstrou infect shadowi agenc hunt ,"Horror, Thriller"
63,two elit soldier must escort civilian gauntlet gunfir explos ,"Action, Adventure, Thriller"
64,besieg writer block crush breakup hardin travel portug search woman wrong past find hope win back realiz need chang way make ultim commit ,"Romance, Drama"
65,12 year old boy search one thing enabl win affect girl dream find must discov stori lorax grumpi yet charm creatur fight protect world ,"Animation, Family"
66,queen shuri baku okoy milaj fight protect nation interven world power wake challa death wakandan strive embrac next chapter hero must band togeth help war dog nakia forg new path kingdom wakanda ,"Action, Adventure, Science Fiction"
67,knight frame tragic crime team scrappi shape shift teen prove innoc ,"Animation, Adventure, Fantasy"
68,explor one man relentless drive invent atom bomb chang natur war forev led death hundr thousand peopl unleash mass hysteria ,"Documentary, History"
69,fat lazi lasagna lover everyth cat could want effort impress vet old high school crush adopt dog name bring home get one thing want competit ,"Animation, Comedy, Family"
70,nearli 5 000 year bestow almighti power egyptian god imprison quickli black freed earthli tomb readi unleash uniqu form justic modern world ,"Action, Adventure, Science Fiction"
71,woman son enlist motley crew call spiritu expert help rid home supernatur squatter ,"Comedy, Fantasy, Horror"
72,ryder pup call adventur citi stop humding turn bustl metropoli state chao ,"Animation, Family, Adventure, Comedy"
73,unjustli accus stage spooki practic joke complet ghost shaggi suspend coolsvil high clear name team solv supernatur mysteri head straight nonstop laugh adventur ,"Mystery, Comedy, Fantasy"
74,salt earth fall head heel enigmat make shock discoveri secret agent decid second date swept away intern adventur save world ,"Action, Comedy, Romance"
75,struggl find place world juggl school famili brooklyn teenag moral unexpectedli bitten radioact spider develop unfathom power like one spider man wrestl implic new abil discov super collid creat madman kingpin fisk caus other across spider vers inadvert transport dimens ,"Action, Adventure, Animation, Science Fiction"
76,seri eeri event thrust unlik trio onto trail nefari govern conspiraci lurk directli beneath neighborhood ,"Comedy, Science Fiction, Mystery"
77,heroic job success land storm damag aircraft war zone fearless pilot find agenda multipl militia plan take plane passeng hostag ,"Action, Adventure, Thriller"
78,baltimor new year talent troubl polic offic recruit fbi chief investig help profil track mass murder ,"Action, Crime, Thriller, Mystery"
79,small town main seven children known loser club come face face life problem bulli monster take shape clown call pennywis ,"Horror, Fantasy"
80,year incid mount polic still investig murder mount cordon polic howev halloween night group teenag break plan hold wed friend conduct rather odd charact howev littl know unexpect guest would show crash parti ,Horror
81,inspir true stori oddbal group cop crimin tourist teen converg forest 500 pound black bear goe murder rampag unintent ingest cocain ,"Thriller, Comedy, Crime"
82,brink lose childhood home discov intrigu job list wealthi helicopt parent look someon date introvert 19 year old son leav colleg surpris soon discov awkward sure thing ,"Comedy, Romance"
83,brilliant toy compani roboticist use artifici intellig develop m3gan life like doll program emot bond newli orphan niec doll program work well becom overprotect new friend terrifi result ,"Science Fiction, Horror"
84,aveng alli continu protect world threat larg one hero handl new danger emerg cosmic shadow thano despot intergalact infami goal collect six infin stone artifact unimagin power use inflict twist realiti everyth aveng fought led moment fate earth exist never uncertain ,"Adventure, Action, Science Fiction"
85,thirti year servic one navi top aviat dodg advanc rank would ground maverick find train detach top gun graduat special mission like live pilot ever seen ,"Action, Drama"
86,accid man back time must best top assassin world protect ungrat son mafia boss save life friend rekindl relationship maniac father figur ,"Action, Comedy, Crime"
87,undercov cop task investig histor gold heist johannesburg forc choos conscienc law ,"Crime, Action, Thriller"
88,death father boy grow lunar mine coloni take trip explor legendari crater along four best friend prior perman reloc anoth planet ,"Science Fiction, Action, Adventure, Family"
89,four year isla nublar destroy dinosaur live hunt alongsid human world fragil balanc reshap futur determin whether human be remain apex predat ona planet share histori fearsom creatur ,"Adventure, Action, Science Fiction"
90,small outpost ambush us armi squad must take battl ground high stake mission new type warfar like never seen ,"Action, War, Thriller"
91,mission expos undercov cia oper stuck deep hostil territori afghanistan must fight way alongsid afghan translat extract point kandahar whilst avoid elit enemi forc foreign spi task hunt ,"Action, Thriller"
92,second year fight crime batman uncov corrupt gotham citi connect famili face serial killer known riddler ,"Crime, Mystery, Thriller"
93,deadli femal assassin come hide protect daughter gave year run danger men ,"Action, Thriller"
94,decad ago ussr develop unkil shark launch moon today team american astronaut endur fight live ,"Action, Science Fiction, Thriller, Horror"
95,scoobi doo mysteri gang visit oakhaven massachusett seek strang go involv famou horror novelist ancestor rumor witch ,"Animation, Comedy, Mystery, Family, Fantasy"
96,best friend life conquer fear push limit climb 2 000 feet top remot abandon radio tower find strand way expert climb skill put ultim test desper fight surviv element lack suppli vertigo induc height ,Thriller
97,potter live stair aunt uncl hous whole life 11th birthday learn power wizard place wait hogwart school witchcraft wizardri learn har newfound power help school kindli headmast uncov truth parent death villain blame ,"Adventure, Fantasy"
98,65 million year ago 2 survivor spaceship somari crash land earth must fend dinosaur reach escap vessel time immin asteroid strike threaten destroy planet ,"Science Fiction, Thriller, Drama, Action, Adventure"
99,car fli tree fight back mysteri hous elf come warn potter start second year hogwart adventur danger await bloodi write wall announc chamber secret open save hogwart requir magic abil courag ,"Adventure, Fantasy"
100,settl green hill sonic eager prove take true hero test come dr robotnik return time new partner knuckl search emerald power destroy civil sonic team sidekick tail togeth embark globe trot journey find emerald fall wrong hand ,"Action, Adventure, Family, Comedy"
101,last day world war ii germani desper last grasp defeat alli power look last remain weapon soldier german navi last remain u boat form togeth one desper last mission mission attack unit state homeland known oper seawolf captain kessler grizzl submarin command world war call servic make one mission success help turn tide war ,"War, Thriller, Action, Adventure, Mystery, Science Fiction, Drama"
102,lord voldemort tighten grip muggl wizard world hogwart longer safe suspect peril may even lie within castl dumbledor intent upon prepar final battl fast approach togeth work find key unlock voldemort defens end dumbledor recruit old friend colleagu slughorn believ hold crucial inform even decis showdown loom romanc blossom classmat air danger lie ahead hogwart may never ,"Adventure, Fantasy"
103,charm thief band unlik adventur undertak epic heist retriev lost relic thing go danger awri run afoul wrong peopl ,"Adventure, Fantasy, Comedy"
104,sibl step magic wardrob find land narnia discov charm peac kingdom plung etern winter evil white witch jadi aid wise magnific lion aslan children lead narnia spectacular climact battl free witch glacial power forev ,"Adventure, Family, Fantasy"
105,scoobi gang hear werewolf plagu travel circu go undercov circu perform get bottom ,"Family, Animation, Comedy, Mystery"
106,retir interrupt gorr god butcher galact killer seek extinct god odinson enlist help valkyri korg ex girlfriend wield mjolnir mighti togeth embark upon harrow cosmic adventur uncov mysteri god butcher vengeanc stop late ,"Fantasy, Action, Comedy"
107,veriti trip old famili mansion take turn floor room suddenli give way fall underground chamber met civil creatur leader tell arriv foretold one use great clock citadel restart time destroy shroud malevol creatur feed fear ,"Family, Fantasy, Adventure"
108,head colleg abandon old friend piglet lead duo embrac inner monster ,"Horror, Thriller"
109,thirteen year old experienc awkward teenag twist get excit transform giant red panda ,"Animation, Family, Comedy, Fantasy"
110,wake death uhtr bebbanburg comrad adventur across fractur kingdom hope unit england last ,"Action, Adventure, War"
111,uniqu behind scene access nasa ambiti mission launch space telescop follow team engin scientist take next giant leap quest understand univers ,Documentary
112,potter name emerg goblet fire becom competitor gruel battl glori among three wizard school triwizard tournament sinc never submit name tournament must confront deadli dragon fierc water demon enchant maze find cruel grasp must name ,"Adventure, Fantasy, Family"
113,vicaria brilliant teenag believ death diseas cure brutal sudden murder brother embark danger journey bring back life ,Horror
114,danger threaten camp fierc highli skill comanch warrior naru set protect peopl prey stalk turn highli evolv alien predat technic advanc arsen ,"Thriller, Action, Science Fiction"
115,adventur group explor make use newli discov wormhol surpass limit human space travel conquer vast distanc involv interstellar voyag ,"Adventure, Drama, Science Fiction"
116,hels mysteri invent monsterf goe haywir drac monster pal transform human becom monster new mismatch bodi drac must team race across globe find cure late drive crazi ,"Animation, Comedy, Family, Adventure, Fantasy"
117,1978 oregon inherit abandon coastal properti late mother never mention untouch hous kept secret 40 year come beauti privat cove beach search answer unwittingli awaken fierc protect creatur ,"Horror, Thriller"
118,continu quest vanquish evil voldemort thing begin look hopeless young wizard discov trio magic object endow power rival voldemort formid skill ,"Fantasy, Adventure"
119,resurrect sinist entiti clown return counti must hunt destroy teenag girl younger brother halloween night bodi count rise sibl fight stay aliv uncov true natur evil intent ,"Horror, Thriller"
120,doctor strang help mystic alli old new travers mind bend danger altern realiti multivers confront mysteri new adversari ,"Fantasy, Action, Adventure"
121,mercenari seiz control remot resort hotel wed best man groom drunken best friend stop terrorist save hostag ,"Action, Thriller"
122,grown sick tire centuri dracula lackey renfield find new leas life mayb even redempt fall feisti perenni angri traffic cop ,"Comedy, Horror, Fantasy"
123,year three hogwart mean new fun challeng learn delic art approach hippogriff transform shape shift boggart hilar even turn back time term also bring danger soul suck dementor hover school alli accurs cannot name lurk within castl wall fearsom wizard siriu black escap azkaban confront ,"Adventure, Fantasy"
124,return fifth year studi hogwart stun find warn return lord voldemort ignor left choic take matter hand train small group student defend dark art ,"Adventure, Fantasy, Mystery"
125,supervillain bloodsport peacemak collect nutti con reve prison join super secret super shadi task forc x drop remot enemi infus island corto maltes ,"Action, Comedy, Adventure"
126,walk away last year hogwart find destroy remain horcrux put end voldemort bid immort belov dumbledor dead voldemort unscrupul death eater loos world danger ever ,"Adventure, Fantasy"
127,fanboy supervillain supergroup known viciou 6 gru hatch plan becom evil enough join backup follow minion ,"Animation, Comedy, Family"
128,22nd centuri parapleg marin dispatch moon uniqu mission becom torn follow order protect alien civil ,"Action, Adventure, Fantasy, Science Fiction"
129,stori super secret spi organ recruit unrefin promis street kid agenc ultra competit train program global threat emerg twist tech geniu ,"Crime, Comedy, Action, Adventure"
130,start detect agenc spitz land career make case billionair pal kidnap wed ,"Comedy, Crime"
131,event justic leagu war ocean master black manta declar war surfac retali aftermath apokoliptian tyrant darkseid planetari invas queen atlanna seek son ocean master half brother curri half human aquat power knowledg atlantean heritag restor balanc live power understand see danger around curri take step embrac destini join justic leagu new teammat battl save earth total destruct ,"Science Fiction, Action, Animation, Adventure"
132,respons global rise demon possess cathol church reopen exorc school train priest rite exorc spiritu battlefield unlik warrior rise young nun sister thrust onto spiritu frontlin fellow student father sister find battl soul young girl soon realiz devil right want ,"Horror, Thriller"
133,color adventur tell stori impetu mermaid princess name fall love human put everyth line chanc memor song charact includ villain sea witch ,"Animation, Family, Fantasy"
134,turmoil new naiv find manipul evil cardin richelieu corrupt command royal guard side cardin employ expertis deviou wick miladi de winter plot bring monarchi drag countri war burn cardin take control stand victori remnant elit group wore loyalti crown countri els musket stand odd foil deadli plot ,"Action, Adventure"
135,suddenli find never seen land luck unluckiest person world must unit magic creatur turn luck around ,"Animation, Adventure, Comedy, Fantasy"
136,new mother discov lullabi ancient book soon regard song bless world transform nightmar lullabi bring forth ancient demon ,Horror
137,young british widow shelter old medic school colleagu man somehow turn invis isol grow saniti fray scheme creat reign wanton murder terror across citi ,"Thriller, Horror, Science Fiction"
138,new cast sight set debut new show tower theater glamor redshor citi connect singer must sneak entertain offic run ruthless wolf mogul gang pitch ridicul idea cast lion rock legend calloway show must embark quest find isol persuad return stage ,"Animation, Family"
139,101 year old dewitt bukat tell stori life aboard titan 84 year later young board ship mother fiancé meanwhil fabrizio de rossi win third class ticket aboard ship tell whole stori titan departur death first last voyag 15 1912 ,"Drama, Romance"
140,return new york fals accus crime must work pal get case dismiss also protect kingdom winner take hockey tournament ,"Animation, Comedy, Family"
141,group peopl go legendari island doll learn deadli truth ,Horror
142,vacat remot cabin young girl two father taken hostag four arm stranger demand famili make unthink choic avert apocalyps limit access outsid world famili must decid believ lost ,"Horror, Thriller, Mystery"
143,reclus english teacher suffer sever obes attempt reconnect estrang teenag daughter one last chanc redempt ,Drama
144,extraordinari young girl discov superpow summon remark courag odd help other chang stori whilst also take charg destini stand right met miracul result ,"Family, Comedy, Fantasy"
145,bad boy exactli colleg freshman need want avoid spend night fight underground box match day ultim colleg campu charmer want noth intrigu resist offer simpl bet lose next fight must remain sex free month win must live apart amount time either way idea dark past emerg may final met match ,"Romance, Drama, Comedy"
146,determin ensur superman ultim sacrific vain align forc plan recruit team metahuman protect world approach threat catastroph proport ,"Action, Adventure, Fantasy"
147,famili discov dark spirit invad home son inexplic fall endless sleep reach profession help learn thing lot person thought ,"Horror, Thriller"
148,militari vessel search unidentifi submers find face face giant shark forc use board defend monstrou beast ,"Action, Science Fiction, Horror, TV Movie"
149,remark come age stori curri one influenti dynam unexpect player basketbal histori rise unders colleg player four time nba champion ,Documentary
150,span year 1945 1955 chronicl fiction italian american corleon crime famili organ crime famili patriarch corleon bare surviv attempt life youngest son step take care would killer launch campaign bloodi reveng ,"Drama, Crime"
151,gather famili ultim destin wed entir parti taken hostag til death us part take whole new mean hilari adrenalin fuel adventur must save love one kill first ,"Action, Comedy, Romance"
152,year shelter human world turtl brother set win heart new yorker accept normal teenag heroic act new friend help take mysteri crime syndic soon get head armi mutant unleash upon ,"Animation, Comedy, Action, Family, Science Fiction"
153,last month world war ii alli make final push european theatr battl harden u armi sergeant name wardaddi command tank call furi five man crew deadli mission behind enemi line outnumb outgun wardaddi men face overwhelm odd heroic attempt strike heart nazi germani ,"War, Drama, Action"
154,viabl water deplet earth mission sent saturn moon titan retriev sustain h2o reserv alien inhabit human acquir preciou resourc attack titan rebel trust earthl leav peac ,"Action, Science Fiction"
155,american desert town circa 1955 itinerari junior stargaz space cadet convent spectacularli disrupt world chang event ,"Comedy, Drama"
156,group friend enjoy weekend steal coupl jetski race sea end horrif head collis struggl find way home badli injur friend water predat lurk ,"Horror, Thriller, Action, Adventure"
157,easi bein green especi likabl albeit smelli ogr name shrek mission retriev gorgeou princess clutch fire breath dragon shrek team unlik compatriot wisecrack donkey ,"Animation, Comedy, Fantasy, Adventure, Family"
158,stay isol island resort enjoy perfect vacat pristin beach except staff soak sun guid seduct mysteri ventur outsid resort ground find cultur fill violenc hedon untold horror tragic accid leav face zero toler polici crime either execut rich enough afford watch die instead ,"Horror, Science Fiction, Thriller"
159,young girl discov ideal parallel univers behind secret door new home unawar contain sinist secret ,"Animation, Family, Fantasy"
160,dumbo babi eleph born size ear suprem lack confid thank even diminut buddi mous pint size pachyderm learn surmount obstacl ,"Animation, Family"
161,lovabl sulley wisecrack sidekick wazowski top scare team monster inc scream process factori monstropoli littl girl name boo wander world monster scare silli sulley keep sight get back home ,"Animation, Comedy, Family"
162,find host bodi investig report alien symbiot must face new enemi carnag alter ego serial killer kasadi ,"Science Fiction, Action, Adventure"
163,led toy live happili room birthday bring buzz lightyear onto scene afraid lose place heart plot buzz circumst separ buzz owner duo eventu learn put asid differ ,"Animation, Adventure, Family, Comedy"
164,wwii american armi medic doss serv battl okinawa refus kill peopl becom first conscienti objector american histori receiv congression medal ,"Drama, History, War"
165,sailor legend frame goddess eri theft book peac must travel realm end world retriev save life childhood friend proteu ,"Family, Animation, Adventure, Comedy, Fantasy, Action"
166,thirti year event first film new blade runner lapd offic k unearth long buri secret potenti plung left societi chao k discoveri lead quest find deckard former lapd blade runner miss 30 year ,"Science Fiction, Drama"
167,toy throw hawaiian vacat room ,"Animation, Family, Comedy"
168,brilliant young inventor keen creat time machin find mother abandon orphanag thing take turn meet famili ,"Animation, Comedy, Family"
169,origin stori former special forc oper turn mercenari subject rogu experi leav acceler heal power adopt alter ego deadpool arm new abil dark twist sens humor deadpool hunt man nearli destroy life ,"Action, Adventure, Comedy"
170,dr indiana jone tweed suit professor happen celebr archaeologist hire govern locat legendari ark coven find entir nazi regim ,"Adventure, Action"
171,base true stori high school head basketbal coach made headlin 1999 bench undef team due poor academ result ,"Drama, History"
172,power biotech compani breakthrough technolog allow clone histori influenti peopl fragment dna behind compani cabal satanist steal shroud put possess dna clone serv ultim offer devil archangel come earth stop noth end devil conspiraci ,"Horror, Fantasy, Science Fiction, Thriller"
173,attack kingsman headquart take place new villain rise eggsi forc work togeth american agenc known statesman save world ,"Action, Adventure, Comedy"
174,governor issu execut order arrest children undocu immigr detain youth offer opportun charg drop volunt provid care elderli insid elder care facil howev discov twist secret could possibl imagin ,"Horror, Comedy"
175,despit famili baffl gener old ban music dream becom accomplish musician like idol de la cruz desper prove talent find stun color land dead follow mysteri chain event along way meet charm trickster togeth set extraordinari journey unlock real stori behind famili histori ,"Family, Animation, Fantasy, Music, Comedy, Adventure"
176,world human fearsom monster live uneasi balanc young hunter aiden fight save villag destruct dragon ,"Animation, Adventure, Action, Fantasy"
177,day schedul execut convict serial killer get psychiatr evalu claim demon claim time psychiatrist commit three murder ,"Horror, Thriller"
178,twenti five year streak brutal murder shock quiet town woodsboro new killer don ghostfac mask begin target group teenag resurrect secret town deadli past ,"Horror, Mystery, Thriller"
179,plagu memori past becom convinc demon entiti possess puppet punch becom sick famili think close death lose mind celebr birthday famili begin disappear remain horrifi experi puppet soon learn true stori punch ,Horror
180,tape perform encanto live film concert experi hollywood bowl origin cast put miracl concert sing favorit song accompani full orchestra 50 person ensembl hollywood bowl transform casita ,Music
181,special bond develop plu size inflat robot baymax prodigi hamada team group friend form band high tech hero ,"Adventure, Family, Animation, Action, Comedy"
182,alleg suicid priest brother travel remot scottish convent fell death distrust church account uncov murder sacrileg disturb truth ,"Horror, Thriller"
183,three high school senior throw parti make name night progress thing spiral control word parti spread ,Comedy
184,unexpect enemi emerg threaten global safeti secur furi director intern peacekeep agenc known h e l find need team pull world back brink disast span globe dare recruit effort begin ,"Science Fiction, Action, Adventure"
185,friend search northern light ,"Animation, Family"
186,two fbi agent brother copeland accident foil drug bust avoid fire accept mission escort pair socialit hampton girl disfigur car accid refus go left without option decid pose sister transform black men rich white women ,"Comedy, Crime"
187,1979 group young filmmak set make adult film rural texa reclus elderli host catch act cast find fight live ,"Horror, Mystery, Thriller"
188,unlucki assassin ladybug determin job peac one mani gig gone rail fate howev may plan ladybug latest mission put collis cours lethal adversari around globe connect yet conflict object world fastest train ,"Action, Comedy, Thriller"
189,cult filmmak desimon reform school girl erotiku histori movi revisit product lost gay film resurrect youth adventur california coast creator raw uncut video ,Documentary
190,stori agoji femal unit warrior protect african kingdom dahomey 1800 skill fierc unlik anyth world ever seen gener nanisca train next gener recruit readi battl enemi determin destroy way life ,"Action, Drama, History"
191,colleg senior steel step sick roommat interview promin businessman grey campu paper littl realiz path life take enigmat rich power find strang drawn though sexual inexperienc plung headlong affair learn true sexual procliv push boundari pain pleasur ,"Drama, Romance, Thriller"
192,inspir true stori montañez frito janitor channel mexican american heritag upbring turn icon flamin hot cheeto snack disrupt food industri becam global pop cultur phenomenon ,"Comedy, Drama"
193,wick forc retir former associ look seiz control shadowi intern assassin guild bound blood oath aid wick travel rome battl world danger killer ,"Action, Thriller, Crime"
194,1970 london amidst punk rock revolut young grifter name determin make name design befriend pair young thiev appreci appetit mischief togeth abl build life london street one day flair fashion catch eye baro von hellman fashion legend devastatingli chic terrifyingli haut relationship set motion cours event revel caus embrac wick side becom raucou fashion reveng bent cruella ,"Comedy, Crime"
195,pacif coast academi alumni return malibu top wed turn high school reunion book ,"Romance, Comedy"
196,darl young girl afraid leav childhood home behind meet pan boy refus grow alongsid brother tini fairi tinker travel magic world neverland encount evil pirat captain captain hook embark thrill adventur chang life forev ,"Family, Fantasy, Action, Adventure"
197,new york stockbrok refus cooper larg secur fraud case involv corrupt wall street corpor bank world mob infiltr base belfort autobiographi ,"Crime, Drama, Comedy"
